fighter_SIG.STR._round_1,fighter_SIG.STR._round_2,fighter_SIG.STR._round_3,fighter_SIG.STR._round_4,fighter_SIG.STR._round_5,fighter_SIG.STR._round_6,fighter_SIG.STR._round_7,fighter_SIG.STR._round_8,fighter_SIG.STR._round_9,fighter_SIG.STR._round_10,fighter_SIG.STR._round_11,fighter_SIG.STR._round_12,fighter_SIG.STR._round_13,fighter_SIG.STR._round_14,fighter_SIG.STR._round_15,opponent_SIG.STR._round_1,opponent_SIG.STR._round_2,opponent_SIG.STR._round_3,opponent_SIG.STR._round_4,opponent_SIG.STR._round_5,opponent_SIG.STR._round_6,opponent_SIG.STR._round_7,opponent_SIG.STR._round_8,opponent_SIG.STR._round_9,opponent_SIG.STR._round_10,opponent_SIG.STR._round_11,opponent_SIG.STR._round_12,opponent_SIG.STR._round_13,opponent_SIG.STR._round_14,opponent_SIG.STR._round_15,fighter_SIG.STR. %_round_1,fighter_SIG.STR. %_round_2,fighter_SIG.STR. %_round_3,fighter_SIG.STR. %_round_4,fighter_SIG.STR. %_round_5,fighter_SIG.STR. %_round_6,fighter_SIG.STR. %_round_7,fighter_SIG.STR. %_round_8,fighter_SIG.STR. %_round_9,fighter_SIG.STR. %_round_10,fighter_SIG.STR. %_round_11,fighter_SIG.STR. %_round_12,fighter_SIG.STR. %_round_13,fighter_SIG.STR. %_round_14,fighter_SIG.STR. %_round_15,opponent_SIG.STR. %_round_1,opponent_SIG.STR. %_round_2,opponent_SIG.STR. %_round_3,opponent_SIG.STR. %_round_4,opponent_SIG.STR. %_round_5,opponent_SIG.STR. %_round_6,opponent_SIG.STR. %_round_7,opponent_SIG.STR. %_round_8,opponent_SIG.STR. %_round_9,opponent_SIG.STR. %_round_10,opponent_SIG.STR. %_round_11,opponent_SIG.STR. %_round_12,opponent_SIG.STR. %_round_13,opponent_SIG.STR. %_round_14,opponent_SIG.STR. %_round_15,target
25.0,31.0,5.0,5.0,15.0,29.0,19.0,31.0,40.0,13.0,14.0,17.0,19.0,15.0,20.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.22,0.36,0.33,0.14,0.3,0.35,0.55,0.5,0.49,0.43,0.25,0.28,0.31,0.32,0.57,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,45.0
29.0,29.0,19.0,31.0,34.0,40.0,13.0,18.0,14.0,17.0,13.0,19.0,15.0,14.0,20.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.35,0.38,0.55,0.5,0.44,0.49,0.43,0.31,0.25,0.28,0.25,0.31,0.32,0.25,0.57,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,39.0
29.0,29.0,19.0,31.0,34.0,40.0,13.0,18.0,14.0,17.0,13.0,19.0,15.0,14.0,20.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.35,0.38,0.55,0.5,0.44,0.49,0.43,0.31,0.25,0.28,0.25,0.31,0.32,0.25,0.57,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,49.0
27.0,30.0,35.0,36.0,7.0,5.0,37.0,37.0,42.0,33.0,29.0,20.0,29.0,14.0,22.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.79,0.71,0.66,0.55,0.63,0.33,0.53,0.52,0.6,0.7,0.48,0.66,0.54,0.51,0.68,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,34.0
35.0,36.0,17.0,7.0,5.0,37.0,37.0,44.0,42.0,33.0,29.0,20.0,29.0,14.0,22.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.66,0.55,0.58,0.63,0.33,0.53,0.52,0.6,0.6,0.7,0.48,0.66,0.54,0.51,0.68,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,29.0
36.0,17.0,30.0,7.0,5.0,37.0,37.0,44.0,42.0,33.0,29.0,20.0,29.0,14.0,22.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.55,0.58,0.63,0.63,0.33,0.53,0.52,0.6,0.6,0.7,0.48,0.66,0.54,0.51,0.68,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,32.0
27.0,31.0,3.0,16.0,3.0,15.0,11.0,33.0,32.0,14.0,14.0,21.0,9.0,60.0,7.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.38,0.62,0.42,0.37,0.5,0.83,0.91,0.58,0.59,0.77,0.77,0.46,0.64,0.66,0.36,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,16.0
33.0,31.0,32.0,41.0,14.0,14.0,8.0,21.0,10.0,9.0,13.0,60.0,49.0,7.0,20.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.58,0.54,0.59,0.56,0.77,0.77,0.4,0.46,0.4,0.64,0.72,0.66,0.62,0.36,0.71,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,2.0
14.0,14.0,8.0,21.0,10.0,27.0,9.0,13.0,5.0,60.0,49.0,14.0,7.0,20.0,4.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.77,0.77,0.4,0.46,0.4,0.57,0.64,0.72,0.45,0.66,0.62,0.77,0.36,0.71,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,12.0
14.0,14.0,8.0,21.0,10.0,27.0,9.0,13.0,5.0,60.0,49.0,14.0,7.0,20.0,4.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.77,0.77,0.4,0.46,0.4,0.57,0.64,0.72,0.45,0.66,0.62,0.77,0.36,0.71,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,2.0
34.0,16.0,10.0,55.0,38.0,11.0,16.0,32.0,4.0,6.0,10.0,15.0,10.0,6.0,6.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.39,0.72,0.33,0.47,0.37,0.5,0.44,0.47,0.4,0.2,0.45,0.25,0.52,0.17,0.37,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,34.0
11.0,16.0,8.0,32.0,4.0,6.0,6.0,10.0,14.0,15.0,10.0,10.0,6.0,17.0,6.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.5,0.44,0.38,0.47,0.4,0.2,0.6,0.45,0.56,0.25,0.25,0.52,0.17,0.2,0.37,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,58.0
26.0,37.0,35.0,11.0,61.0,1.0,31.0,25.0,34.0,10.0,7.0,8.0,20.0,18.0,11.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.46,0.44,0.41,0.45,0.55,0.25,0.29,0.45,0.44,0.31,0.36,0.2,0.28,0.46,0.26,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,21.0
40.0,25.0,34.0,28.0,10.0,3.0,7.0,8.0,15.0,20.0,25.0,18.0,30.0,11.0,16.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.36,0.45,0.44,0.45,0.31,0.21,0.36,0.2,0.37,0.28,0.4,0.46,0.53,0.26,0.44,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,41.0
11.0,23.0,18.0,28.0,16.0,25.0,6.0,29.0,11.0,23.0,26.0,22.0,9.0,9.0,13.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.28,0.46,0.5,0.46,0.5,0.43,0.54,0.58,0.37,0.57,0.32,0.45,0.45,0.6,0.32,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,8.0
22.0,11.0,2.0,23.0,2.0,26.0,19.0,22.0,20.0,9.0,2.0,9.0,1.0,13.0,16.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.57,0.37,0.25,0.57,0.28,0.32,0.43,0.45,0.58,0.45,0.25,0.6,0.25,0.32,0.61,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,25.0
9.0,10.0,10.0,30.0,20.0,17.0,11.0,6.0,8.0,15.0,41.0,23.0,8.0,7.0,11.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.26,0.29,0.29,0.56,0.4,0.32,0.28,0.66,0.47,0.25,0.48,0.38,0.36,0.26,0.32,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,3.0
25.0,6.0,8.0,7.0,15.0,41.0,15.0,23.0,26.0,8.0,17.0,7.0,14.0,11.0,23.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.39,0.66,0.47,0.46,0.25,0.48,0.4,0.38,0.37,0.36,0.26,0.26,0.37,0.32,0.41,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,14.0
9.0,16.0,19.0,27.0,22.0,30.0,2.0,35.0,47.0,20.0,21.0,12.0,7.0,12.0,11.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.47,0.55,0.67,0.65,0.51,0.76,0.66,0.56,0.71,0.62,0.41,0.26,0.87,0.42,0.36,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,14.0
6.0,15.0,10.0,16.0,7.0,12.0,23.0,14.0,6.0,14.0,1.0,19.0,8.0,6.0,30.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.5,0.46,0.35,0.84,0.7,0.52,0.54,0.82,0.4,0.73,0.33,0.51,0.42,0.3,0.4,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,22.0
8.0,22.0,10.0,15.0,14.0,12.0,26.0,0.0,10.0,5.0,19.0,21.0,4.0,13.0,26.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.3,0.47,0.52,0.38,0.45,0.63,0.5,0.0,0.47,0.38,0.33,0.43,0.14,0.3,0.89,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,34.0
18.0,0.0,8.0,10.0,7.0,5.0,19.0,6.0,21.0,41.0,4.0,13.0,13.0,26.0,12.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.45,0.0,0.47,0.47,0.36,0.38,0.33,0.3,0.43,0.82,0.14,0.3,0.65,0.89,0.6,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,2.0
23.0,11.0,21.0,12.0,16.0,11.0,16.0,7.0,0.0,2.0,5.0,4.0,5.0,20.0,2.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.48,0.55,0.52,0.5,0.57,0.27,0.37,0.31,0.0,0.4,0.55,0.4,0.62,0.62,0.5,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,33.0
3.0,7.0,4.0,17.0,12.0,33.0,34.0,48.0,51.0,9.0,11.0,9.0,21.0,10.0,36.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.3,0.5,0.33,0.47,0.54,0.39,0.42,0.54,0.66,0.47,0.68,0.5,0.77,0.66,0.51,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,21.0
20.0,30.0,21.0,13.0,24.0,10.0,28.0,5.0,37.0,26.0,11.0,18.0,17.0,16.0,19.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.44,0.51,0.46,0.39,0.46,0.58,0.51,0.16,0.52,0.57,0.64,0.4,0.25,0.36,0.57,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,17.0
28.0,5.0,22.0,37.0,12.0,26.0,11.0,18.0,23.0,17.0,22.0,16.0,13.0,19.0,21.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.51,0.16,0.47,0.52,0.66,0.57,0.64,0.4,0.37,0.25,0.32,0.36,0.23,0.57,0.63,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,11.0
12.0,26.0,11.0,18.0,23.0,6.0,17.0,22.0,16.0,16.0,13.0,17.0,19.0,21.0,3.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.66,0.57,0.64,0.4,0.37,0.26,0.25,0.32,0.29,0.36,0.23,0.32,0.57,0.63,1.0,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,15.0
12.0,26.0,11.0,18.0,23.0,6.0,17.0,22.0,16.0,16.0,13.0,17.0,19.0,21.0,3.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.66,0.57,0.64,0.4,0.37,0.26,0.25,0.32,0.29,0.36,0.23,0.32,0.57,0.63,1.0,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,11.0
18.0,12.0,29.0,33.0,25.0,35.0,0.0,4.0,16.0,14.0,18.0,22.0,5.0,14.0,9.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.48,0.52,0.59,0.56,0.56,0.59,,0.8,0.43,0.42,0.4,0.55,0.38,0.36,0.33,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,59.0
18.0,12.0,29.0,33.0,25.0,35.0,0.0,4.0,16.0,14.0,18.0,22.0,5.0,14.0,9.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.48,0.52,0.59,0.56,0.56,0.59,,0.8,0.43,0.42,0.4,0.55,0.38,0.36,0.33,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,38.0
8.0,18.0,11.0,17.0,2.0,10.0,16.0,21.0,13.0,14.0,18.0,2.0,10.0,18.0,7.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.33,0.51,0.91,0.8,0.66,0.32,0.4,0.75,0.52,0.36,0.66,0.5,0.38,0.5,0.38,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,3.0
21.0,8.0,13.0,14.0,14.0,10.0,18.0,27.0,2.0,10.0,7.0,18.0,11.0,7.0,10.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.75,0.36,0.52,0.36,0.36,0.4,0.66,0.6,0.5,0.38,0.58,0.5,0.45,0.38,0.52,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,5.0
3.0,8.0,7.0,17.0,16.0,16.0,9.0,11.0,15.0,19.0,14.0,12.0,28.0,14.0,11.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.5,0.32,0.24,0.36,0.36,0.35,0.52,0.26,0.36,0.29,0.26,0.24,0.43,0.43,0.35,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,7.0
15.0,5.0,18.0,11.0,4.0,1.0,24.0,17.0,14.0,2.0,5.0,17.0,1.0,6.0,22.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.57,0.33,0.66,0.44,0.22,0.14,0.64,0.68,0.46,0.4,0.23,0.54,1.0,0.37,0.81,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,17.0
1.0,7.0,24.0,3.0,17.0,14.0,2.0,24.0,5.0,1.0,17.0,36.0,1.0,6.0,22.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.14,0.5,0.64,0.23,0.68,0.46,0.4,0.68,0.23,0.5,0.54,0.7,1.0,0.37,0.81,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,15.0
24.0,3.0,10.0,17.0,14.0,2.0,24.0,15.0,5.0,1.0,17.0,36.0,1.0,6.0,22.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.64,0.23,0.43,0.68,0.46,0.4,0.68,0.65,0.23,0.5,0.54,0.7,1.0,0.37,0.81,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,2.0
24.0,3.0,10.0,17.0,14.0,2.0,24.0,15.0,5.0,1.0,17.0,36.0,1.0,6.0,22.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.64,0.23,0.43,0.68,0.46,0.4,0.68,0.65,0.23,0.5,0.54,0.7,1.0,0.37,0.81,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,6.0
10.0,10.0,13.0,14.0,16.0,26.0,15.0,12.0,3.0,36.0,7.0,21.0,8.0,20.0,17.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.2,0.22,0.18,0.4,0.29,0.38,0.34,0.38,0.13,0.52,0.63,0.34,0.24,0.35,0.3,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,64.0
21.0,24.0,18.0,26.0,21.0,20.0,12.0,25.0,40.0,29.0,19.0,20.0,10.0,14.0,7.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.32,0.43,0.32,0.57,0.53,0.45,0.16,0.31,0.53,0.48,0.37,0.35,0.21,0.26,0.7,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,40.0
12.0,33.0,25.0,23.0,40.0,14.0,29.0,19.0,33.0,20.0,10.0,1.0,14.0,11.0,7.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.16,0.3,0.31,0.23,0.53,0.51,0.48,0.37,0.44,0.35,0.21,0.07,0.26,0.64,0.7,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,62.0
8.0,27.0,20.0,0.0,10.0,3.0,16.0,25.0,7.0,10.0,4.0,16.0,33.0,12.0,2.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.3,0.71,0.45,0.0,0.52,0.27,0.24,0.65,0.36,0.5,0.57,0.61,0.55,0.5,0.28,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,32.0
25.0,43.0,7.0,6.0,10.0,23.0,4.0,5.0,16.0,29.0,33.0,47.0,12.0,1.0,2.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.65,0.63,0.36,0.46,0.5,0.56,0.57,1.0,0.61,0.7,0.55,0.61,0.5,1.0,0.28,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,32.0
17.0,10.0,23.0,31.0,4.0,5.0,16.0,29.0,10.0,33.0,47.0,22.0,12.0,1.0,2.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.7,0.5,0.56,0.49,0.57,1.0,0.61,0.7,0.45,0.55,0.61,0.59,0.5,1.0,0.28,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,14.0
17.0,10.0,23.0,31.0,4.0,5.0,16.0,29.0,10.0,33.0,47.0,22.0,12.0,1.0,2.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.7,0.5,0.56,0.49,0.57,1.0,0.61,0.7,0.45,0.55,0.61,0.59,0.5,1.0,0.28,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,22.0
31.0,31.0,31.0,28.0,35.0,13.0,34.0,15.0,50.0,11.0,15.0,37.0,46.0,31.0,34.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.49,0.43,0.43,0.54,0.55,0.5,0.61,0.39,0.51,0.28,0.32,0.48,0.46,0.45,0.45,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,39.0
32.0,30.0,1.0,60.0,56.0,10.0,26.0,6.0,13.0,11.0,25.0,22.0,16.0,15.0,20.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.51,0.63,0.33,0.59,0.62,0.33,0.61,0.5,0.54,0.61,0.46,0.46,0.22,0.3,0.55,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,33.0
11.0,15.0,26.0,11.0,25.0,17.0,8.0,8.0,18.0,8.0,20.0,33.0,32.0,7.0,15.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.61,0.31,0.49,0.44,0.49,0.3,0.26,0.57,0.46,0.23,0.38,0.53,0.32,0.43,0.48,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,10.0
30.0,27.0,28.0,8.0,13.0,25.0,1.0,34.0,22.0,23.0,4.0,33.0,6.0,45.0,8.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.54,0.67,0.56,0.66,0.52,0.51,0.5,0.54,0.42,0.69,0.57,0.54,0.66,0.45,0.36,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,23.0
1.0,13.0,34.0,22.0,19.0,23.0,4.0,33.0,26.0,6.0,11.0,45.0,67.0,8.0,12.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.5,0.59,0.54,0.42,0.39,0.69,0.57,0.54,0.41,0.66,0.32,0.45,0.59,0.36,0.41,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,34.0
20.0,23.0,4.0,33.0,26.0,20.0,6.0,11.0,2.0,45.0,67.0,7.0,8.0,12.0,17.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.39,0.69,0.57,0.54,0.41,0.44,0.66,0.32,0.33,0.45,0.59,0.46,0.36,0.41,0.35,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,23.0
20.0,23.0,4.0,33.0,26.0,20.0,6.0,11.0,2.0,45.0,67.0,7.0,8.0,12.0,17.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.39,0.69,0.57,0.54,0.41,0.44,0.66,0.32,0.33,0.45,0.59,0.46,0.36,0.41,0.35,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,15.0
15.0,8.0,10.0,29.0,18.0,19.0,14.0,1.0,37.0,14.0,6.0,21.0,11.0,7.0,25.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.37,0.34,0.37,0.46,0.37,0.54,0.35,0.33,0.48,0.53,0.27,0.5,0.47,0.43,0.71,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,30.0
14.0,1.0,37.0,18.0,14.0,24.0,6.0,13.0,21.0,19.0,11.0,7.0,9.0,25.0,15.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.43,0.33,0.48,0.43,0.53,0.53,0.27,0.46,0.5,0.34,0.47,0.43,0.3,0.71,0.37,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,30.0
