fighter_SIG.STR._round_1,fighter_SIG.STR._round_2,fighter_SIG.STR._round_3,fighter_SIG.STR._round_4,fighter_SIG.STR._round_5,fighter_SIG.STR._round_6,fighter_SIG.STR._round_7,fighter_SIG.STR._round_8,fighter_SIG.STR._round_9,fighter_SIG.STR._round_10,fighter_SIG.STR._round_11,fighter_SIG.STR._round_12,fighter_SIG.STR._round_13,fighter_SIG.STR._round_14,fighter_SIG.STR._round_15,opponent_SIG.STR._round_1,opponent_SIG.STR._round_2,opponent_SIG.STR._round_3,opponent_SIG.STR._round_4,opponent_SIG.STR._round_5,opponent_SIG.STR._round_6,opponent_SIG.STR._round_7,opponent_SIG.STR._round_8,opponent_SIG.STR._round_9,opponent_SIG.STR._round_10,opponent_SIG.STR._round_11,opponent_SIG.STR._round_12,opponent_SIG.STR._round_13,opponent_SIG.STR._round_14,opponent_SIG.STR._round_15,fighter_SIG.STR. %_round_1,fighter_SIG.STR. %_round_2,fighter_SIG.STR. %_round_3,fighter_SIG.STR. %_round_4,fighter_SIG.STR. %_round_5,fighter_SIG.STR. %_round_6,fighter_SIG.STR. %_round_7,fighter_SIG.STR. %_round_8,fighter_SIG.STR. %_round_9,fighter_SIG.STR. %_round_10,fighter_SIG.STR. %_round_11,fighter_SIG.STR. %_round_12,fighter_SIG.STR. %_round_13,fighter_SIG.STR. %_round_14,fighter_SIG.STR. %_round_15,opponent_SIG.STR. %_round_1,opponent_SIG.STR. %_round_2,opponent_SIG.STR. %_round_3,opponent_SIG.STR. %_round_4,opponent_SIG.STR. %_round_5,opponent_SIG.STR. %_round_6,opponent_SIG.STR. %_round_7,opponent_SIG.STR. %_round_8,opponent_SIG.STR. %_round_9,opponent_SIG.STR. %_round_10,opponent_SIG.STR. %_round_11,opponent_SIG.STR. %_round_12,opponent_SIG.STR. %_round_13,opponent_SIG.STR. %_round_14,opponent_SIG.STR. %_round_15,target
25.0,30.0,19.0,19.0,1.0,16.0,19.0,17.0,25.0,29.0,12.0,14.0,5.0,20.0,0.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.5,0.51,0.4,0.48,0.25,0.32,0.7,0.58,0.42,0.54,0.75,0.29,0.29,0.4,0.0,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,27.0
34.0,12.0,22.0,29.0,19.0,33.0,20.0,3.0,14.0,25.0,23.0,16.0,9.0,16.0,14.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.65,0.36,0.47,0.5,0.3,0.44,0.38,0.25,0.35,0.42,0.38,0.3,0.21,0.4,0.42,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,14.0
23.0,9.0,12.0,11.0,13.0,21.0,9.0,3.0,23.0,1.0,14.0,38.0,21.0,3.0,18.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.69,0.9,0.4,0.45,0.68,0.63,0.56,0.27,0.76,0.2,0.56,0.52,0.65,0.42,0.43,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,15.0
7.0,6.0,2.0,10.0,3.0,0.0,13.0,29.0,25.0,12.0,1.0,34.0,15.0,10.0,19.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.58,0.85,0.33,0.3,0.33,0.0,0.3,0.47,0.39,0.54,0.1,0.6,0.71,0.45,0.51,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,8.0
16.0,18.0,16.0,19.0,19.0,10.0,17.0,13.0,6.0,6.0,25.0,9.0,11.0,27.0,10.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.37,0.64,0.45,0.42,0.65,0.31,0.54,0.37,0.28,0.18,0.5,0.6,0.64,0.79,0.5,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,26.0
18.0,17.0,13.0,13.0,6.0,6.0,6.0,25.0,45.0,9.0,11.0,11.0,21.0,27.0,10.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.85,0.54,0.37,0.61,0.28,0.18,0.23,0.5,0.6,0.6,0.37,0.64,0.84,0.79,0.5,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,15.0
6.0,6.0,6.0,14.0,25.0,45.0,14.0,9.0,11.0,1.0,11.0,21.0,27.0,27.0,10.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.28,0.18,0.23,0.48,0.5,0.6,0.56,0.6,0.37,0.5,0.64,0.84,0.51,0.79,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,19.0
6.0,6.0,6.0,14.0,25.0,45.0,14.0,9.0,11.0,1.0,11.0,21.0,27.0,27.0,10.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.28,0.18,0.23,0.48,0.5,0.6,0.56,0.6,0.37,0.5,0.64,0.84,0.51,0.79,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,11.0
16.0,11.0,21.0,19.0,25.0,9.0,13.0,1.0,5.0,4.0,2.0,6.0,18.0,7.0,6.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.8,0.44,0.5,0.52,0.55,0.9,0.72,0.33,0.45,0.8,0.25,0.5,0.69,0.63,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,30.0
16.0,11.0,21.0,19.0,25.0,9.0,13.0,1.0,5.0,4.0,2.0,6.0,18.0,7.0,6.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.8,0.44,0.5,0.52,0.55,0.9,0.72,0.33,0.45,0.8,0.25,0.5,0.69,0.63,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,50.0
